藥品編號,收費編號,藥品英文名,藥品中文名,顏色,形狀,劑型,廠牌名,中文加強描述,英文加強描述,備註
PEC030M,PEC030M     1PC,Reminyl PR 16mg,利憶靈持續性藥效膠囊16毫克,粉紅色,,鋁箔裝膠囊,嬌生,印有" G16 " 字樣,imprinted with " G16 ",102.04.18
P6A740P,P6A740P     1PC,XGEVA,癌骨瓦,,,注射液,葛蘭素,,,102.04.19
PME110P,PME110P     1PC,Victoza,胰妥善注射液,,,筆型注射劑,諾和諾德, 淺藍色筆身、「淺藍色」按鈕,,102.04.18
PMD046P,PMD046P     1PC,Pergoveris 150 IU / 75 IU,倍孕力凍晶注射劑 150/75 國際單位,,,凍晶注射劑,Merck Serono,,,102.04.22
PME113P,PME113P     1PC,Apidra Solostar,愛胰達注射劑,,,筆型注射劑,賽諾菲安萬特,藍灰色注射筆、「藍色」按鈕,,102.04.23
PFD060M,PFD060M     1PC,Teradrin  2mg,暢流錠 2毫克,橘紅色,圓形,鋁箔裝錠劑,健喬信元,一面刻有"TERADRIN"、另一面刻有"SY",Tablet engraved with "TERADRIN" on one side and "SY" on the others,2023.05.16
PGA094M,PGA094M     1PC,Frisium,服利寧錠,白色,圓形,鋁箔裝錠劑,賽諾菲安萬特,錠劑上刻有"B"及"GL",Tablet engraved with" B"&"GL",102.05.02
PDA271P,PDA271P     1PC,Vidaza,委丹扎注射劑,白色,,乾粉注射劑,Baxter,,,102.05.04
PVD046E,PVD046E     1PC,Almidine,愛明定點眼液,,,眼藥水,景德,,,101.05.04
PDA269M,PDA269M     1PC,Revlimid 15mg,瑞復美膠囊15毫克,淺藍 / 白色,,鋁箔裝膠囊,Celgene,印有REV  15mg字樣,imprinted with REV  15mg,2023.07.31
PGA097M,PGA097M     1PC,Lyrica,利瑞卡膠囊,紅 / 白色,,鋁箔裝膠囊,輝瑞,膠囊上印有 pfizer及PGN 75,Capsule imprinted with  pfizer  and PGN 75,102.05.06
P6A648P,P6A648P     1PC,Erwinase(專案),Erwinase(專案),,,注射劑,EUSA PHARMA,,,102.05.14
P6A686P,P6A686P     1PC,Cerezyme 400U,Cerezyme 400U(專案),,,注射劑,Genzyme,,,102.05.14
PGC106P,PGC106P     1PC,Febin,菲碧茵肌肉注射劑,,,注射液,台裕,,,102.05.15
P6A691P,P6A691P     1PC,Yervoy 50mg,益伏注射劑,,,注射液劑,必治妥,,,103.03.25
P6A716P,P6A716P     1PC,Soliris,Soliris (專案),,,注射劑,NA,,,102.05.16
P6A718S,P6A718S     1PC,Itrazole,速克黴內服液劑,,,口服液劑,黃氏製藥,,,102.05.16
P6A721P,,PG2 inj.,懷特血寶注射劑,,,注射劑,懷特生技,,,102.05.16
P6A724P,P6A724P     1PC,Remodulin,Remodulin(專案),,,注射劑,Baxter,,,102.05.16
P6A725M,,Inlyta,Inlyta(專案),,,錠劑,輝瑞,,,102.05.16
P6A726P,P6A726P     1PC,Aethoxysklerol,,,,注射劑,Kreussler Pharma,,,102.05.16
P6A728P,P6A728P     1PC,Jevtana,去癌達注射劑,,,注射劑,賽諾菲,,,102.05.17
P6A732P,P6A732P     1PC,Precedex,普利斯德注射劑,,,注射劑,Hospira,,,102.05.17
P6A733M,P6A733M     1PC,Afinitor 2.5mg,癌伏妥錠2.5mg,,,錠劑,諾華,,,102.05.17
P6A737P,P6A737P     1PC,Leustatin,Leustatin(專案),,,注射劑,楊森,,,102.05.17
P6A743P,P6A743P     1PC,OncoTICE (專案),,,,注射劑,MSD,,,2023.08.02
P8A004M,,Victrelis,Victrelis(專案),,,膠囊,MSD,,,
P8A006P,,TheraCIM,TheraCIM (專案),,,注射劑,,,,
PCC184M,PCC184M     1PC,Neomycin,紐奧黴素膠囊,暗紅色/橘色,,膠囊,順華,,,102.05.20
PLC037M,PLC037M     1PC,Xarelto 15MG,拜瑞妥膜衣錠15毫克,紅棕色,圓形,膜衣錠,拜耳,一面刻有倒三角型、15字樣，另一面有BAYER字樣,marked triangle and 15 on one side, and BAYER on another side,102.05.21
PLC039M,PLC039M     1PC,Xarelto 20MG,拜瑞妥膜衣錠20毫克,紅棕色,圓形,膜衣錠,拜耳,一面刻有倒三角型、20字樣，另一面有BAYER字樣,marked triangle and 20 on one side, and BAYER on another side,102.05.21
P8A015P,P8A015P     1PC,Evoltra,宜保安濃縮輸注液,,,注射劑,賽諾菲,,,102.05.21
P8A021P,P8A021P     1PC,Jevtana,去癌達注射劑,,,注射劑,賽諾菲,,,102.05.21
P8A028P,P8A028P     1PC,Kadcyla(T-DM1) 160mg,Kadcyla(T-DM1) 160mg (專案),,,注射劑,NA,注射劑,,
PWL108E,PWL108E     1PC,EFUCON GEL,益膚康凝膠,,,外用凝膠,寶齡富錦,,,102.05.22
PFA124M,PFA124M     1PC,Blopress 16mg Plus 12.5mg Tablets,博脈舒加強錠,淡紅色,橢圓形,鋁箔裝錠劑,武田,有刻痕及16 及C字樣,scored, engraved with 16 and C,102.05.27
PKD054S,PKD054S     1PC,Duphalac Oral solution 300mL,杜化液,無色至黃褐色,,口服液劑,亞培,,,2020.01.31
PID011P,PID011P     1PC,SMOF Kabiven PI Emulsion,斯莫克必恩周邊靜脈輸注液,,,注射液,費森尤斯卡比,,,102.05.30
PCG072M,PCG072M     1PC,Leflodal,佐淨菌膜衣錠,肉色,長橢圓形,鋁箔裝錠劑,中國化學,刻有CCP / 147字樣,imprined with CCP  /147,102.06.01
PZA253P,PZA253P     1PC,Carnitene inj.,加力體能注射劑(Sigma-Tau),,,注射液,Sigma-Tau,,,102.06.01
PCH110M,PCH110M     1PC,Prezista(400MG),普利他膜衣錠(400MG),淡橘色,扁橢圓形,膜衣錠,嬌生,一面刻有400MG,一面刻有TMC字樣,engraved with 400MG, TMC,102.06.03
PNA126P,PNA126P     1PC,Cervarix(優惠專案),保蓓人類乳突病毒第16/18型疫苗(GSK),,,注射液,葛蘭素,,,102.06.03
PQB003M,PQB003M     1PC,Asmatin 2.5mg,喘必定錠 2.5毫克,白色,圓形,鋁箔裝錠劑,杏輝,一面有刻痕,One side scored,2023.02.20
P6A745P,P6A745P     1PC,Papaverine SERB,Papaverine SERB(專案),,,注射液,S.E.R.B.,,,102.06.04
PFA126M,PFA126M     1PC,Syntace,欣泰錠,白色,蝴蝶形,鋁箔裝錠劑,健喬信元,錠劑上一面刻有S/Y，另一面刻有1/1,Tablet engraved with S/Y on one side and 1/1 on the others,102.06.04
PFA121M,PFA121M     1PC,Tritace 10mg,心達舒錠 10毫克,白色,蝴蝶形,鋁箔裝錠劑,Sanofi,錠劑兩面皆有刻痕,Tablet both sides scored,2023.04.06
PGA044M,PGA044M     1PC,Tremsolin,顫紓寧錠,白色,圓形,錠劑,易生堂,錠劑一面刻有十字、另一面刻有 EX / 29,Tablet one side scored with a cross, the other side with EX / 29,102.06.07
PED068M,PED068M     1PC,Glycopyrodyn,格比平錠,土黃色,圓形,錠劑,聯亞/科進/科懋,錠劑一面刻有 EX / 1,Tablet engraved with"EX / 1 ",102.06.10
PME109M,PME109M     1PC,Kludone MR,速糖淨持續性藥效錠,白色,橢圓形,持續性藥效錠,歐帕生技,錠劑上一面刻有"PM / 37"，另一面刻有" 60 ",Tablet engraved with "PM / 37" & " 60 ",2022.08.22
PME112M,PME112M     1PC,Trajenta,糖漸平膜衣錠,紅棕色,圓形,鋁箔裝錠劑,百靈佳,錠劑一面刻有"D5",Tablet engraved with"D5",102.06.18
PWM038E,PWM038E     1PC,BECANEX oint,無花乾癬軟膏,,,外用軟膏,明德,,,102.06.21
PDA281P,PDA281P     1PC,Evoltra,宜保安濃縮輸注液,,,注射液,Genzyme,,,102.06.21
PGF071M,PGF071M     1PC,Valdoxan 25mg,煩多閃膜衣錠 25毫克,土黃色,扁橢圓形,膜衣錠,Servier,,,2023.05.29
PMG026M,PMG026M     1PC,Eltroxin,昂特欣,白色,圓形,錠劑,Aspen Pharmacare,有GS  21C 與 100字樣,imprint with GS  21C  &  100,103.02.11
PZA254P,PZA254P     1PC,Somatuline autogel 120mg,舒得寧長效型注射凝膠劑120毫克,,,注射凝膠劑,IPSEN,,,102.06.29
PME107P,PME107P     1PC,Humalog100U/ml KwikPen,優泌樂筆注射劑,,,注射液,禮來,灰色筆身、「暗紅色」 按鈕,,102.06.29
PSA096M,PSA096M     1PC,Juvela N,高育維軟膠囊,淡橘色,圓卵形,軟膠囊,衛采,膠囊上印有" E 200",Capsule imprinted with " E 200",102.06.29
P6A107M,P6A107M     1PC,Stapin S.R.,安壓定持續釋放錠,,圓形,鋁箔裝錠劑,生達,,,102.07.01
PWK012E,,Polytar emollient,普麗外用液,,,外用液劑,葛蘭素史克/史帝富,,,102.07.03
PED044M,PED044M     1PC,Oxbu ER,歐舒,黃色,長橢圓形,鋁箔裝錠劑,健喬信元,一面有刻痕、另一面刻有「OX  5」,one side scored and the other imprinted with「OX  5」,2021.10.25
PFA048M,PFA048M     1PC,Cintsu,心舒,淡黃色,圓形,糖衣錠,永信,,,102.07.10
PQA055S,PQA055S     1PC,Consrine syrup,康是寧糖漿,深褐色,,糖漿劑,晟德,,,102.07.12
PWC055E,PWC055E     1PC,Momesone Cream,喜膚能乳膏,,,外用乳膏,寶齡富錦,,,2022.01.27
PGG098M,PGG098M     1PC,Seroquel XR 50mg,思樂康持續性藥效錠,肉色,長條形,持續性藥效錠,阿斯特捷利康,刻有XR 50字樣,marked XR 50 on one side,102.07.18
PMF065P,PMF065P     1PC,Zobonic,抑骨凍晶靜脈注射劑,,,注射劑,台灣東洋,,,102.07.18
PLC041M,PLC041M     1PC,Brilinta,百無凝膜衣錠,土黃色,圓形,膜衣錠,阿斯特捷利康,錠劑上刻有" 90 T ",Tablet imprinted with " 90 T ",102.07.18
PCC086P,PCC086P ZD1 1PC,Lofadine,樂華定注射劑,白色,粉末狀,注射劑,政德,,,102.07.22
PFA056M,PFA056M     1PC,Labtal,壓血泰膜衣錠,橘色,圓形,膜衣錠,杏輝,一面有刻痕，另一面刻有"SINPHAR",Tablet one side scored, the other side imprinted with "SINPHAR",102.07.22
PDA283M,PDA283M     1PC,Tasigna 150 mg,泰息安膠囊,棕色,,鋁箔裝膠囊,諾華,印有 NVR 及 BCR 字樣,imprint with NVR & BCR,102.07.25
P4A110P,P4A110P     1PC,Verorab,狂犬病疫苗,,,注射劑,賽諾菲,,,102.08.05
PZA256M,PZA256M     1PC,Volibris,肺博舒5毫克膜衣錠,粉紅色,方形,膜衣錠,葛蘭素,一面印有“GS”字樣，另一面印有“K2C”字樣,engraved with “GS”, “K2C”,102.08.06
PZA257M,PZA257M     1PC,Volibris,肺博舒10毫克膜衣錠,紅色,圓形,膜衣錠,葛蘭素,一面印有“GS”字樣，另一面印有“KE3”字,engraved with “GS”,“KE3”,102.08.06
P6A761E,,Sulmezole,舒美佐眼藥水,,,眼藥水,麥迪森,,,102.08.12
P8A029M,P8A029M     1PC,BMS-582664,BMS-582664,白色,長橢圓形,膜衣錠,必治妥,,,102.08.12
PAA006P,,Covorin,克廢喦注射液,,,注射劑,瑞士,,,102.08.14
PMC072P,PMC072P     1PC,Progeston depot,持續性普保胎注射液,,,注射劑,FUJI PHARMA,,,102.08.19
PFC070M,PFC070M     1PC,Livalo 2mg,力清之 膜衣錠 2mg,淡粉紅色,圓形,膜衣錠,Kowa/台田,一面有刻痕，另一面刻有"kowa 202",One side scored and engraved with "kowa 202" on the other side,2023.05.04
PNA130P,PNA130P     1PC,Gardasil,嘉喜,,,注射劑,默沙東,,,102.08.20
PID150P,PID150P     1PC,Tpn SMOF Kabiven Central Vein Emulsion,斯莫克必恩中央靜脈輸注液,,,注射劑,費森尤斯卡比,,,102.08.21
PFA128M,PFA128M     1PC,Micardis (80),必康平錠80公絲,,橢圓形,鋁箔裝錠劑,百靈佳,有52H字樣,engraved with 52H,102.08.23
PED028M,PED028M     1PC,Buscopan 10mg,補斯可伴糖衣錠 10毫克,白色,圓形,鋁箔裝錠劑,Sanofi/Boehringer Ingelheim,,,2023.05.15
PWI046E,PWI046E     1PC,Polinin,保理寧陰道栓劑,,,陰道栓劑,培力,,,102.09.03
PQA056S,PQA056S     1PC,Sutussi liquid,停咳喜液,深褐色,,口服液劑,晟德,,,102.09.09
PIC041P,PIC041P RM1 1PC,Rosis IV injection,樂泄靜脈注射液,,,注射液,信東,,,2020.12.21
PKD055M,PKD055M     1PC,Niflec powder,耐福力散,,,粉末,中國化學,,,102.09.11
PZA255M,PZA255M     1PC,DUODART,多適達膠囊,橘色/棕色,,膠囊,葛蘭素,膠囊上印有" GS 7CZ ",Capsule imprinted with" GS 7CZ ",102.09.13
PMF060P,PMF060P     1PC,Terlissin,坦沛思凍晶注射劑,白色,粉末狀,注射劑,中國化學,,,102.09.13
PHK070P,PHK070P     1PC,Dotarem,得立顯注射劑,無色透明,,注射液,Guerbet,,,102.09.01
PFA130M,PFA130M     1PC,Cartil,卡迪爾錠,白色,圓形,鋁箔裝錠劑,健喬信元,錠劑上刻有" SYG 30 ",Tablet imprinted with " SYG 30 ",102.09.18
PZA085P,PZA085P     1PC,Synvisc Hylan G-F 20,新維立,,,注射液,Genzyme,,,102.09.18
PTA071S,PTA071S     1PC,Mycostatin For Oral Suspension,滅菌靈懸液用粉劑,淡黃色,粉末狀,口服懸浮用粉劑,健亞,,,102.09.23
PBA003M,PBA003M     1PC,Neocetin,好克敏膜衣錠,白色,長橢圓形,膜衣錠,南光,一面刻有"N K"、另一面刻有"486",Tablet engraved with "N K" on one side and "486" on the others,102.09.25
PFA129P,PFA129P     1PC,Perdipine inj.,培爾吉平注射液,,,注射液,安斯泰來,,,102.09.25
PBA066M,PBA066M     1PC,Alledine,敏帝膜衣錠,肉色,長橢圓形,膜衣錠,永信,錠劑上刻有" YSP37 ",Tablet engraved with" YSP37 ",102.09.26
PCF036M,PCF036M     1PC,PENTASA Sachet PR granules,頗得斯安持續性藥效顆粒劑,灰白至淡棕白色,,顆粒,Ferring,,,1021008
PZA258P,PZA258P     1PC,XGEVA,癌骨瓦,,,注射液,葛蘭素,,,102.10.09
PWA016E,PWA016E     1PC,Biomycin 40 GM,欣黴素藥膏 40 GM,,,外用軟膏,中生生技,,,102.10.11
PME115M,PME115M     1PC,Kombiglyze XR,康併莎持續性藥效膜衣錠,粉紅色,扁橢圓形,持續性藥效錠,AstraZeneca,印有"4223"及 "5/1000" 字樣,Tablet imprinted with " 4223 "and " 5/1000 ",2019.06.19
P6A768E,,Polytar liquid,保麗娜液,,,外用液劑,史帝富,,,102.10.14
PFC072M,PFC072M     1PC,Robestar Sandoz,魯士定膜衣錠,肉色,圓形,膜衣錠,Sandoz,錠劑上刻有"RSV 10",Tablet imprinted with"RSV 10",102.10.22
PZA185E,PZA185E     1PC,Gliadel Wafer (領用請洽藥庫),格立得植入劑,,,植入劑,Eisai, 零下20℃ (  - 20℃) 冷凍儲存,每次需開8片(PC),,2019.08.21
PCG066P,PCG066P     1PC,Ciproxin IVF,速博新靜脈輸液,,,注射液,拜耳,,,102.10.28
PWP028E,PWP028E     1PC,Esecin Gel 1.5%“P.L.”,益欣凝膠,,,外用凝膠,培力,,,102.10.30
PME092M,PME092M     1PC,Glitis,泌特穩錠,白色,圓形,鋁箔裝錠劑,中國化學,一面有刻痕，另一面刻有 CCP / C80,One side scored, the other side engraved with "CCP / C80",102.10.30
PME116M,PME116M     1PC,Galvus,高糖優適錠,白色,圓形,錠劑,諾華,一面刻有"FB"、另一面刻有"NVR",Tablet engraved with "FB" on one side and "NVR" on the others,102.10.31
PFA132M,PFA132M     1PC,Exforge HCT 5/160/12.5,力安穩 膜衣錠,白色,長橢圓形,鋁箔裝錠劑,Novartis,錠劑一面刻有「NVR」，另一面刻有「VCL」,Tablets engraved side "NVR" on one side and engraved "VCL",102.11.05
PIG089M,PIG089M     1PC,Renvela 0.8g powder for oral suspension,磷減樂口服懸液用粉劑,淡黃色,粉末狀,口服懸浮用粉劑,Genzyme,不透明、鋁箔熱融封小包,,102.11.05
PKA026M,PKA026M     1PC,Algitab Chewable Tab,艾胃逆服咀嚼錠,白色,圓形,咀嚼錠,台裕,,,102.11.11
PGA098M,PGA098M     1PC,Zonegran,佐能安膜衣錠,白色,圓形,鋁箔裝錠劑,衛采,錠劑上一面刻有 "P 132",Tablet engraved with "P 132",102.11.12
P6A775P,P6A775P     1PC,Zostavax,伏帶疹 活性帶狀皰疹疫苗,,,凍晶注射劑,默沙東,,,102.11.13
PFA131M,PFA131M     1PC,Sevikar HCT 20/5/12.5, 舒脈優膜衣錠,淡橘色,圓形,膜衣錠,第一三共,錠劑上刻有" C51 ",Tablet imprinted with " C51 ",102.11.20
PZA260M,PZA260M     1PC,Daxas,迪開舒膜衣錠,土黃色,不規則三角形,膜衣錠,武田,錠劑上有菱形刻痕,There are diamond-shaped notch tablets,102.11.21
P6A522M,P6A522M     1PC,Xenazine  25mg,止蹈錠 25毫克,淡黃色,圓形,錠劑,Astrea Fontaine,刻有CL 25及分隔線,imprinted with CL 25 and scored,2023.07.10
PCC095P,PCC095P     1PC,SINTRIX 500MG,信得瑞注射劑,白色,,乾粉注射劑,信東,,,102.11.26
PFA116M,PFA116M     1PC,Amtrel,諾壓錠,白色,圓形,錠劑,東生華,一面刻有「tsh / CV 1」字樣,Engraved with「tsh / CV 1」on one side.,2022.05.13
PAA047P,PAA047P     1PC,Folina,芙琳亞注射液,黃色,,注射液,聯亞生技,,,107.01.28
PGB064M,PGB064M     1PC,ReQuip PD 8mg,力必平持續性藥效膜衣錠,紅棕色,長橢圓形,持續性藥效錠,葛蘭素,錠劑上一面刻有"GS"，另一面刻有"5CC",Tablet engraved with"GS" on one side and "5CC"on the others,102.12.05
PZA261P,PZA261P     1PC,Ozurdex,傲迪適眼後段植入劑,,,植入劑,愛力根,,,102.12.13
PWA017E,PWA017E     1PC,Bacitracin Neomycin oint,利膚軟膏,,,外用軟膏,西德有機,,,102.12.26
PKD056M,PKD056M     1PC,Conslife,秘福,淺青,圓形,糖衣錠,永信,,,102.12.26
PMC043M,PMC043M     1PC,Norina,諾莉娜錠,白色,圓形,錠劑,健喬信元,有刻痕及5、SYN字樣,scored, engraved with 5 and SYN,102.12.30
PTA112S,PTA112S     1PC,Isobide solution,施洛得液,無色透明至淡黃色,,口服液劑,Kowa/宜泰/順華,,,102.12.31
PDA286P,PDA286P     1PC,Vinorelbine ( 50mg ),必諾賓濃縮注射液,,,注射劑,Hospira,,,102.12.31
PDA284P,PDA284P     1PC,Vinorelbine ( 10mg),必諾賓濃縮注射液,,,注射劑,Hospira,,,102.12.31
PLD062P,PLD062P     1PC,FEIBA 1000IU,威保抗抑制子凝血複合物,,,凍晶注射劑,Baxter,,,103.01.02
PWG016E,PWG016E     1PC,Sinbaby, 金貝比嬰兒擦劑,,,外用液劑,杏輝,,,103.01.02
PCC336M,PCC336M     1PC,Amoxicillin,安謀黴素膠囊500毫克,黃/紅色,,膠囊,信東/榮民,膠囊上印有500MG及ST 473,Capsule imprinted with 500MG and ST 473,103.01.13
PTA113S,PTA113S     1PC,Rivast,理曼提 內服液劑,,,口服液劑,晟德,,,103.01.13
PLD066P,PLD066P     1PC,Xyntha 1000 IU,任捷第八凝血因子凍晶注射劑,,,凍晶注射劑,惠氏,,,103.01.14
PFA012M,PFA012M     1PC,Lanoxin,隆我心,白色,圓形,錠劑,葛蘭素,錠劑上刻有" D025 ",Tablet engraved with" D025 ",103.01.17
PKG012M,PKG012M     1PC,Silima,信美寧膠囊,紅棕色,,膠囊,柏理/應元,印有" PLt "字樣,Imprinted with " PLt ",103.01.17
PBA016M,PBA016M     1PC,Cyprodin,賽普寧錠,白色,圓形,錠劑,強生,錠劑上一面刻有十字、另一面刻有"JCP ",Tablet one side scored with a cross, the other side with "JCP ",103.01.21
P6A767M,,Giotrif 40mg,妥復克膜衣錠40毫克,,,鋁箔裝錠劑,百靈佳,,,103.02.11
PEA041P,PEA041P     1PC,Easydopa,易多巴注射液,,,注射劑,歐舒邁克/濟生,,,103.02.13
PFE054P,PFE054P     1PC,N.T.G premixed,恩舒注射劑 0.2毫克/毫升,,,注射劑,歐舒邁克/濟生,,,103.02.13
PDA290P,PDA290P     1PC,Tynen,鈦能注射劑,,,注射液,東洋,,,103.02.19
PZA265P,PZA265P     1PC,Bridion,倍帝恩注射液,無色透明至淡黃色,,注射液,默沙東,,,103.02.13
PDA288P,PDA288P     1PC,Tynen,鈦能注射劑,,,注射液,東洋,,,102.03.19
PME117M,PME117M     1PC,ACTOSMET 15/850 MG,愛妥蜜膜衣錠,白色,長橢圓形,膜衣錠,武田,一面刻有「15/850」、另一面刻有「4833M」字樣,Engraved with one side「15/850」and「4833M」on the other side.,103.02.24
PZA268P,PZA268P     1PC,Durolane,膝舒適 關節腔注射劑,,,,史耐輝,注射劑,,103.02.25
PNA132P,PNA132P     1PC,HperRAB,人類狂犬病免疫球蛋白,,,注射劑,Grifols,,,103.02.27
PZA037M,PZA037M     1PC,Nicotinell Cool Mint,克菸咀嚼錠,白色,長方形,咀嚼錠,葛蘭素,,,106.11.03
PCC195P,PCC195P     1PC,U-Vanco,優凡可注射劑,白色,粉末狀,乾粉注射劑,台裕,,,103.03.12
PGB065E,PGB065E     1PC,Neupro  8mg/24hr,紐普洛穿皮貼片劑8毫克/24小時,,,穿皮貼片劑,UCB,,,2021.09.08
PFD071M,PFD071M     1PC,Polenin,攝利寧膜衣錠,淺黃綠色,圓形,膜衣錠,寶齡富錦,錠劑上一面刻有" PBF / 457 ",Tablet engraved with"PBF / 457",103.03.14
P6A901P,P6A901P     1PC,Stamaril,黃熱病疫苗,,,,NA,注射劑,,
P6A903P,P6A903P     1PC,Typhim Vi,傷寒疫苗,,,,NA,注射劑,,
P6A904P,P6A904P     1PC,Japanese encephalitis vaccine,,,,,NA,注射劑,,
PNA080P,PNA080P     1PC,IMOVAX POLIO,注射式小兒麻痺疫苗,,,,NA,注射劑,,
PWH032E,PWH032E     1PC,Zalain,達來乳膏,,,外用乳膏,歐帕生技,,,103.03.14
PGB062M,PGB062M     1PC,Rakinson,律莎錠,白色,圓形,錠劑,晟德,錠劑一面刻有 R 字樣,Tablet imprinted with  "  R  ",103.03.19
PGG022M,PGG022M     1PC,Diapin,當立平錠,白色,圓形,錠劑,柏理/應元,錠劑有—面刻有 PLt ，另一面 D,Tablet engraved with one side " PLt "and " D " on the others,103.03.24
PKB021M,PKB021M     1PC,Dicetel,得舒特膜衣錠,淺黃橙色,圓形,膜衣錠,Abbott,錠劑有—面刻有「50」,Tablet engraved with one side「50」,2022.02.21
PLC006P,PLC006P     1PC,,,,,注射液,南光,,,103.04.07
PCH113M,PCH113M     1PC,疾管署 Combivir,卡貝滋錠,白色,橢圓形,錠劑,葛蘭素,有GX FC3字樣,imprint with GX FC3,103.04.17
PDA274P,PDA274P     1PC,5-Fu Inj.,好復注射液,,,注射劑,南光,,,103.04.25
PLD042M,PLD042M     1PC,Tranexam 250mg  (散裝),得抑血錠250毫克,白色,圓凸形,錠劑,強生,錠劑一面刻有" U / U ",Tablet engraved with " U / U ",2021.09.30
P8A043P,P8A043P     1PC,Yervoy,Yervoy,,,,NA,注射劑,,
PZA252M,PZA252M     1PC,Loata,羅達錠,白色,圓形,錠劑,中國化學,錠劑一面刻有" CCP C90 ",Tablet engraved with " CCP C90 ",103.05.05
PGB066M,PGB066M     1PC,Apo-Pramipexole,安保穩樂錠,白色,橢圓形,錠劑,Apotex,錠劑上一面刻有 APO，另一面刻有 PR / .25,Tablet engraved with "APO" on one side and " PR / .25 "on the others,103.05.05
PCH112M,PCH112M     1PC,Viramune XR 400mg,衛滋 持續性藥效錠,,長橢圓形,持續性藥效錠,百靈佳,,,103.05.06
PEA042P,PEA042P     1PC,Simdax,心得適濃縮注射劑,,,注射劑,Orion pharma,,,103.05.07
PFA133M,PFA133M     1PC,IRBESARTAN Sandoz 300mg,爾本沙丁"山德士"膜衣錠,白色,扁橢圓形,膜衣錠,Sandoz,一面有刻痕、另一面刻有 300,One side scored and engraved " 300 " on the other side,103.05.12
PGB008M,PGB008M     1PC,Sinemet CR,心寧美持續性藥效錠,淡紫色,扁橢圓形,錠劑,MSD,錠劑上刻有 " 521 ",Tablet imprinted with " 521 ",103.05.13
PZA266M,PZA266M     1PC,Harnalidge OCAS,活路利淨OCAS持續性藥效膜衣錠,土黃色,圓形,持續性藥效錠,安斯泰來,錠劑一面刻有" 04",Tablet engraved with"04",103.05.15
PGG092P,PGG092P     1PC,Invega Sustenna 75mg,善思達持續性藥效肌肉注射懸浮劑,,,懸液注射劑,嬌生,,,103.05.16
PGG096P,PGG096P     1PC,Invega Sustenna 150mg,善思達持續性藥效肌肉注射懸浮劑,,,懸液注射劑,嬌生,,,103.05.16
PAA004P,PAA004P     1PC,Edetoxin Inj.,佑得立 注射劑,,,注射劑,信東,,,103.05.21
P6A789E,P6A789E     1PC,Alcos-anal supp.,益痔康栓劑,,,栓劑,明德,,,103.05.23
PKF046P,PKF046P     1PC,EMEND(Fosaprepitant) IV 150mg,止敏吐 靜脈注射劑,,,乾粉注射劑,默沙東,,,103.05.23
PDA297M,PDA297M     1PC,Giotrif 40mg,妥復克膜衣錠40毫克,淡藍色,圓形,膜衣錠,百靈佳,錠劑上一面刻有" T40 "，另一面為百靈佳公司標誌,Tablets engraved on one side there is " T40 ", the other side of Boehringer Ingelheim company logo,2023.04.06
PLD067P,PLD067P     1PC,BeneFix,賓凝適第九凝血因子凍晶注射劑,,,凍晶注射劑,惠氏,,,103.05.29
PAA042M,PAA042M     1PC,Suboxone 2mg,舒倍生,白色,六角形,舌下錠,Reckitt-Benckiser,有 N2 及 + 等字樣,,103.06.09
PWP027E,PWP027E     1PC,Wart Del Cream,汰疣凝乳膏,,,外用乳膏,中生生技,,,2021.09.06
P6A786P,P6A786P     1PC,Gamunex-C 10gm,凱銘斯免疫球蛋白注射液,,,注射劑,Grifols,,,103.06.13
PDA298M,PDA298M     1PC,Inlyta 5mg,抑癌特 5 毫克,紅棕色,三角形,膜衣錠,輝瑞,錠劑一面刻有" pfizer "、另一面" 5 XNB ",Tablet engraved with " pfizer " on one side and " 5 XNB "on the others,103.06.20
PIG092S,PIG092S     1PC,Phosphate oral solution,含磷口服液,無色透明,,口服液劑,榮民,,,103.06.23
P6A784M,P6A784M     1PC,Intelence,英特萊錠,白色,橢圓形,錠劑,嬌生,錠上一面刻有" T125 "，另一面" 100 ",Tablet engrave with " T125 "on one side and " 100 " on the other side,103.06.23
PWA018E,PWA018E     1PC,Biomycin 10gm,欣黴素藥膏 10gm,,,外用軟膏,中生生技,,,103.06.24
PGD071M,PGD071M     1PC,Jurnista 8mg,釋通緩釋錠,紅色,圓形,緩釋錠,Alza,錠劑上印有" HM 8 ",Tablet imprinted with" HM 8 ",103.06.24
PWM024E,PWM024E     1PC,Karac Cream,癬痘克乳膏,,,外用乳膏,中生生技,,,103.06.25
PZA270P,PZA270P     1PC,EYLEA 40 mg/mL,采視明瓶裝注射液,,,注射劑,拜耳 / Vetter Pharma-Fertigung,,,2020.02.11
PWL112E,PWL112E     1PC,Unguentum Zinci Oxidi,氧化鋅軟膏,,,外用軟膏,仙台,,,103.07.03
PVD048E,PVD048E     1PC,Lumigan 0.01%,露明目點眼液劑,,,眼藥水,愛力根,,,103.07.04
PGI006M,PGI006M     1PC,Eurodin 2mg,悠樂丁錠 2公絲,白色,圓形,錠劑,武田,錠劑一面有刻痕,Tablet one side scored,2023.02.17
PME058P,PME058P     1PC,NovoRapid FlexPen,諾和瑞 諾易筆,,,注射劑,諾和諾德,深藍色筆身、「橘色」 按鈕,,103.07.09
PME114P,PME114P     1PC,NovoMix 50 FlexPen,諾和密斯 50 諾易筆,,,注射劑,諾和諾德,深藍色筆身、「粉紅色」 按鈕,,103.07.09
