藥品編號,收費編號,藥品英文名,藥品中文名,顏色,形狀,劑型,廠牌名,中文加強描述,英文加強描述,備註
PGB024M,,Celance,協良行錠,淺黃橙色,長方形,錠劑,禮來,有刻痕與 Lilly 4131字樣,scored, imprint with Lilly 4131,
PGB040M,PGB040M     1PC,Madopar 125,美道普,粉紅 / 藍色,,膠囊,羅氏,有ROCHE字樣,imprint with ROCHE,
PGB050M,PGB050M     1PC,Madopar HBS,美道普,藍/綠色,,膠囊,羅氏,有ROCHE字樣,imprint with ROCHE,
PGC028M,PGC028M     1PC,Indoy,炎達益,紅 / 白色,橢圓形,膠囊,生達,有STD505字樣,imprint with STD505,100.08.10
PGC058M,,Mobic,骨敏捷,黃色,圓形,錠劑,百靈佳,有59D/59D字樣,imprint with 59D/59D,
PGD008M,PGD008M     1PC,Codeine,磷酸可待因,白色,圓形,錠劑,管制藥品製藥工廠,有刻痕與 C30 字樣,scored, imprint with "C30",
PGF010M,PGF010M     1PC,Mesyrel,美舒鬱,淡橘色,圓形,錠劑,美時,有刻痕與 LO字樣,scored, imprint with LO,2020.05.14
PGF020M,PGF020M     1PC,Ludiomil,低落美,紅棕色,圓形,錠劑,諾華,有CG與 DP字樣,imprint with CG & DP,
PGA050M,PGA050M     1PC,Lamictal,樂命達,黃色,方形,錠劑,葛蘭素,有GSEE1  50字樣,imprint with GSEE1  50,961212
PGF040M,,Efexor,速悅,淡紅橙色,五角形,錠劑,惠氏,有W與 37.5字樣,imprint with W & 37.5,
PGF050M,PGF050M     1PC,Seroxat 20mg,克憂果膜衣錠 20毫克,白色,橢圓形,鋁箔裝錠劑,GSK,一面有刻痕，另一面刻有 SEROXAT 20,One side scored, the other side engraved with "SEROXAT 20",2023.06.17
PGG001M,PGG001M     1PC,Risperdal,理思必妥,白色,長橢圓形,錠劑,楊森,有Ris / 1字樣,imprint with Ris/1,
PGG005M,PGG005M     1PC,Xanax XR,贊安諾,淡藍色,圓形,持續性藥效錠,輝瑞,有P&U與 57字樣,imprint with P&U & 57,
PGG008M,PGG008M     1PC,Zapine,來特平,淡黃色,圓形,錠劑,信東,有ST/364字樣,imprint with ST/364,95.12.5
PGG010M,PGG010M     1PC,Winsumin,穩舒眠膜衣錠,粉紅色,圓形,膜衣錠,強生,一面有刻痕,Tablet one side scored,102.12.04
PGG014M,PGG014M     1PC,Clopine,克慮平,黃色,圓形,錠劑,瑞士,有SWISS與 L/D字樣,engraved with SWISS & L/D,
PGG019M,PGG019M     1PC,Seroquel,思樂康,淡紅色,圓形,錠劑,阿斯特捷利康,有SEROQUEL與 25 字樣,imprint with SEROQUEL & 25,
PGG024M,PGG024M     1PC,Dupin,樂平片,黃色,圓形,錠劑,中國化學,有刻痕,scored,
PFA004M,PFA004M     1PC,Concor,康肯,乳黃色,心形,錠劑,Merck,有刻痕,scored,
PFA007M,,Renitec,悅您定,粉紅色,盾形,錠劑,默沙東,有刻痕及RENITEC字樣,scored, imprint with RENITEC,
PFA013M,,Diovan,得安穩,橘色,圓形,錠劑,諾華,有NVR與DV字樣,imprint with NVR & DV,
PFA014M,PFA014M     1PC,Cozaar,可悅您,白色,橢圓形,錠劑,默沙東,有952字樣,imprint 952,
PFA024M,PFA024M     1PC,Cordarone,臟得樂,白色,圓形,錠劑,賽諾菲聖德拉堡,有200字樣,imprint with 200,
PFA028M,,Pronestyl,普利心律,黃色,,膠囊,必治妥,有SQUIBB字樣,imprint with SQUIBB,
PFA034M,PFA034M     1PC,Adalat OROS 30,冠達悅歐樂,淡紅色,圓形,錠劑,拜耳,有Adalat 30字樣,imprint with Adalat 30,
PFA039M,PFA039M     1PC,Nimotop,腦妥,土黃色,圓形,錠劑,拜耳,有SK與 BAYER字樣,imprint with SK & BAYER,
PFA054M,PFA054M     1PC,Isoptin Sr 240mg,心舒平持續性膜衣錠,淡綠色,長橢圓形,錠劑,亞培,有刻痕,scored,103.04.23
PFD005M,PFD005M     1PC,Catapres,降保適,白色,圓形,鋁箔裝錠劑,百靈佳,有1C/1C字樣,imprint with 1C/1C,
PFD024M,PFD024M     1PC,Apresoline,阿普利素寧,粉紅色,圓形,錠劑,諾華,,,
PFA002M,,Tenormin,天諾敏,白色,圓形,錠劑,阿斯特捷利康,有刻痕 與 TENORMIN字樣,scored, imprint with TENORMIN,
PFE030M,PFE030M     1PC,Imdur,寬心,乳黃色,橢圓形,錠劑,阿斯特捷利康,有A / ID字樣,imprint with A/ID,
PGA008M,PGA008M     1PC,Rivotril 0.5mg,利福全 0.5毫克,橘色,圓形,錠劑,CHEPLA PHARM,有刻痕與 0.5字樣,scored, imprint with 0.5,2023.03.01
PGA012M,PGA012M     1PC,Dilantin,癲能停,橘/白色,,膠囊,Parke-davis,有PARKE DAVIS與 P-D 100字樣,imprint with PARKE DAVIS & P-D 100,
PGA024M,PGA024M     1PC,L.A,樂安錠,白色,圓形,錠劑,強生,有三角形圖樣,engraved with triangle-shape,
PGA030M,PGA030M     1PC,Sabril,赦癲易膜衣錠,白色,長橢圓形,錠劑,安萬特,有刻痕與 SABRIL字樣,scored, imprint with SABRIL,
PGA034M,PGA034M     1PC,Topamax,妥泰膜衣錠,土黃色,圓形,錠劑,楊森,有TOP與 100字樣,imprint with TOP & "100",
PCC070M,PCC070M     1PC,Penicillin-V,配尼西林,白色,圓形,錠劑,中國化學,有刻痕 與  D16字樣,scored, imprint with D16,
PCD020M,PCD020M     1PC,Sporanox,適撲諾,粉紅 / 藍色,,膠囊,楊森,有 JANSSEN 與 SPORANOX 字樣,imprint with JANSSEN & SPORANOX,
PCF004M,PCF004M     1PC,Morcasin,孟克杏錠,白色,圓形,錠劑,杏輝,有SR字樣,imprint with SR,2023.02.03
PCH080M,PCH080M     1PC,Zeffix,干安能,淺黃橙色,橢圓形,錠劑,葛蘭素,有GXCG5字樣,imprint with GXCG5,
PDA016M,PDA016M     1PC,Myleran,邁樂寧,白色,圓形,錠劑,葛蘭素,有  M 與 GXEF3 字樣,imprint with M & GXEF3,
PDA020M,PDA020M     1PC,Leukeran,瘤克寧,磚紅色,圓形,錠劑,葛蘭素,有GX EG3與 L字樣,imprint with GX EG3 & L,
PDA039M,PDA039M     1PC,Hydrea,愛治膠囊,粉紅 / 藍色,,膠囊,必治妥,有BMS 303字樣,imprint with BMS 303,
PDA040M,PDA040M     1PC,Alkeran,威克瘤,白色,圓形,錠劑,葛蘭素,有GX EH3與 A字樣,imprint with GX EH3 & A,
PDA063M,PDA063M     1PC,Aromasin,諾曼癌素,白色,圓形,錠劑,輝瑞,有 7663字樣,imprint with 7663,
PDA071M,PDA071M     1PC,Fareston,弗瑞斯,白色,圓形,錠劑,Orion,有TO60字樣,imprint with TO60,
PDA088M,PDA088M     1PC,Androcur,安得卡,白色,圓形,錠劑,拜耳,有BV字樣,imprint with BV,
PDA098M,PDA098M     1PC,Vesanoid,凡善能,土黃/赭紅色,橢圓形,軟膠囊,羅氏,,,
PDA101M,PDA101M     1PC,Sandimmum Neoral,新體睦,灰色,橢圓形,軟膠囊,諾華,有s 25mg字樣,imprint with s 25mg,
PDA162M,,Temodal,帝盟多,白色,,膠囊,Schering,有TEMODAL與 250mg字樣,imprint with TEMODAL & 250mg,
PDA166M,PDA166M     1PC,Temodal 20 mg,帝盟多,黃/白色,,膠囊,Schering,有TEMODAL與 20mg字樣,imprint with TEMODAL & 20mg,
PEA016M,,Effortil,益惠血,白色,圓形,錠劑,百靈佳,有05E/05E字樣,imprint 05E/05E,
PEC004M,PEC004M     1PC,Exelon,憶思能,米黃色,,膠囊,諾華,有EXELON/1.5mg字樣,imprint with EXELON/1.5mg,101.08.08
PEC005M,PEC005M     1PC,Exelon,憶思能,橘色,,膠囊,諾華,有EXELON/3mg字樣,imprint with EXELON/3mg,
PED002M,PED002M     1PC,Detrusitol,得舒妥,白色,圓形,錠劑,輝瑞,有DT字樣,imprint with DT,107.04.02
PED042M,,Propantheline,凱胃,粉紅色,圓形,錠劑,十全,,,
PKB026M,PKB026M     1PC,Fybogel,寶纖,橘色,,粉末,Reckitt-Benckiser,,,
PSA092M,PSA092M     1PC,U-Ca,活維D,紅 / 白色,橢圓形,軟膠囊,杏輝,,,2022.03.09
PCC180M,PCC180M     1PC,Klaricid 500mg,開羅理黴素膜衣錠 500毫克,黃色,橢圓形,錠劑,Abbott,,,2023.02.23
PED048M,PED048M     1PC,Cospanon,可使保朗,紅棕/黃色,,膠囊,衛采,有CS40E字樣,imprint with CS40E,
PAA005M,PAA005M     1PC,Folina,芙琳亞,白色,圓形,鋁箔裝錠劑,台灣東洋,有刻痕,scored,
PCB024M,PCB024M     1PC,Tinidazole,服喜,黃色,圓形,錠劑,永信,有 W 字樣,engraved "W",
PCE020M,PCE020M     1PC,Rifampicin,立汎黴素,紅/咖啡色,,膠囊,永信,,,
PDA100M,PDA100M     1PC,Krestin,克速鎮,鐵銹色,,粉末,三共,,,
PCA002M,PCA002M     1PC,Decaris,得可利錠,白色,圓形,錠劑,楊森,有 L50 與 JANSSEN 字樣,imprint with L50 & JANSSEN,
PCH004M,PCH004M     1PC,Valtrex,袪疹易,白色,橢圓形,錠劑,葛蘭素,有GX CF1字樣,engraved "VALTREX 500",
PAA012M,PAA012M     1PC,Kelfer-500,康鐵寧,淡黃/深紅紫,,膠囊,Cipla,,,
PKD030M,PKD030M     1PC,Klean-prep,刻見清,,,,Helsinn Birex,,,
PGD020M,PGD020M     1PC,Pethidine,鹽酸配西汀,白色,圓形,錠劑,管制藥品製藥工廠,,,
PDA073M,PDA073M     1PC,Vepesid,滅必治,粉紅色,,軟膠囊,必治妥,,,2018.10.30
PCC128M,PCC128M     1PC,Hinicol,百氯素,淺藍 / 白色,,膠囊,永豐,,,
PUA030M,,Zymaflour,小哈佛,黃色,圓形,錠劑,諾華,有三角形圖樣,engraved with triangle-shape,
PHC008M,,Dextrose powder,,白色,,粉末,,,,
PAA001M,PAA001M     1PC,Carbomix,蓋抹滅顆粒劑,黑色,,顆粒,Norit Cosmara BV,,,
PCE018M,PCE018M     1PC,Mycobutin,淨核,紅棕色,,膠囊,輝瑞,有Mycobutin與Pharmacia & Upjohn字樣,imprint with "Mycobutin""Pharmacia & Upjohn",2020.06.08
PDA092M,PDA092M     1PC,Zavedos,艾達黴素,紅棕色,,膠囊,法瑪西亞,有Idarubicin字樣,imprint with Idarubicin,
PID131M,,Isocal HN,愛速康佳氮,,,,雀巢,,,971114
PKI002M,,Reductil,諾美婷,黃/藍色,,膠囊,亞培,有Reductil與 10 字樣,imprint with Reductil & 10,
